"product_id";"measure_description";"grams_weight";"is_visible"
"01001";"pat (1"" sq, 1/3"" high)";5.00;0
"01001";"tbsp";14.20;0
"01001";"cup";227.00;0
"01001";"stick";113.00;0
"01002";"pat (1"" sq, 1/3"" high)";3.80;0
"01002";"tbsp";9.40;0
"01002";"cup";151.00;0
"01002";"stick";76.00;0
"01003";"tbsp";12.80;0
"01003";"cup";205.00;0
"01004";"oz";28.35;0
"01004";"cubic inch";17.00;0
"01005";"cup, diced";132.00;0
"01005";"cup, shredded";113.00;0
"01005";"oz";28.35;0
"01005";"cubic inch";17.00;0
"01005";"slice (1 oz)";28.00;0
"01006";"oz";28.35;0
"01006";"cup, sliced";144.00;0
"01006";"cup, melted";240.00;0
"01006";"cubic inch";17.00;0
"01007";"oz";28.35;0
"01007";"cup";246.00;0
"01007";"cubic inch";17.00;0
"01008";"oz";28.35;0
"01009";"cup, diced";132.00;0
"01009";"cup, melted";244.00;0
"01009";"cup, shredded";113.00;0
"01009";"oz";28.35;0
"01009";"cubic inch";17.00;0
"01009";"slice (1 oz)";28.00;0
"01010";"oz";28.35;0
"01011";"cup, diced";132.00;0
"01011";"cup, shredded";113.00;0
"01011";"oz";28.35;0
"01011";"cubic inch";17.00;0
"01011";"slice (1 oz)";28.00;0
"01013";"cup (not packed)";226.00;0
"01014";"cup (not packed)";145.00;0
"01015";"cup (not packed)";226.00;0
"01016";"cup (not packed)";226.00;0
"01017";"tbsp";14.50;0
"01017";"cup";232.00;0
"01017";"oz";28.35;0
"01017";"cubic inch";16.00;0
"01018";"oz";28.35;0
"01018";"package (7 oz)";198.00;0
"01019";"cup, crumbled";150.00;0
"01019";"oz";28.35;0
"01019";"cubic inch";17.00;0
"01020";"cup, diced";132.00;0
"01020";"cup, shredded";108.00;0
"01020";"oz";28.35;0
"01020";"cubic inch";15.00;0
"01020";"slice (1 oz)";28.00;0
"01020";"package (8 oz)";227.00;0
"01021";"oz";28.35;0
"01021";"package (8 oz)";227.00;0
"01022";"oz";28.35;0
"01022";"package (7 oz)";198.00;0
"01023";"oz";28.35;0
"01023";"slice (1 oz)";28.00;0
"01023";"cubic inch";15.00;0
"01023";"cup, diced";132.00;0
"01023";"cup, shredded";108.00;0
